        1 file(s) copied. 

n =

   273


p =

   133

Initial regression, p=14, R^2=0.58627
v=10, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=92, ecr=1.2895
v=11, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=93, ecr=5.0147
v=12, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=95, ecr=3.251
v=13, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=97, ecr=1.8292
v=14, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=97, ecr=6.3102
searching 2: restart search based on partial(stepwise) btr, p=16
v=15, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=20, ecr=3.7172
v=16, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=21, ecr=2.2176
v=17, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=22, ecr=7.2421
v=18, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=20, ecr=4.23
v=19, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=23, ecr=2.5363
v=20, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=25, ecr=3.2807
v=21, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=27, ecr=1.9409
v=1, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=27, ecr=1.1809
v=2, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=27, ecr=0.75683
v=3, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=27, ecr=3.7364
v=4, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=29, ecr=10.8873
v=5, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=20, ecr=6.2868
v=6, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=75, ecr=3.4122
v=7, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=76, ecr=2.7299
v=8, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=76, ecr=2.3982
v=9, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=76, ecr=4.416
v=10, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=81, ecr=1.7655
v=11, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=81, ecr=6.1572
v=12, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=84, ecr=16.6972
v=13, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=763, ecr=8.4394
v=1, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=763, ecr=4.2774
v=2, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=763, ecr=2.1798
v=3, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=763, ecr=7.1516
v=4, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=763, ecr=3.6284
v=5, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=763, ecr=2.1121
v=6, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=20, ecr=6.9891
v=7, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=412, ecr=3.5465
v=8, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=20, ecr=2.0829
v=9, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=21, ecr=6.9189
v=10, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=137, ecr=2.3762
v=11, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=137, ecr=7.6229
v=12, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=278, ecr=3.866
v=13, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=20, ecr=2.4563
v=14, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=22, ecr=5.1085
searching 3: intensive search based on top 4 Btr, p=15
